spread,h,episode,start,end,n_flat_obs,delta_alone_ann,delta_drop_ann,_d_drop,same_sign_as_full
10Y-2Y,21,7,2020-01-16,2020-03-10,28,0.36291744518282676,-0.03198780495852069,-0.0026656504132100576,False
10Y-2Y,21,8,2022-03-07,2023-10-16,391,-0.07067695437538513,-0.016204318264155585,-0.0013503598553462988,True
10Y-2Y,21,9,2023-11-09,2023-12-22,20,-0.09342379127282868,-0.0259355553377109,-0.002161296278142575,True
10Y-2Y,21,10,2024-03-07,2024-03-07,1,0.6921295994076871,-0.026944745124654657,-0.0022453954270545548,False
10Y-2Y,21,11,2024-05-24,2024-06-25,10,-0.05035454979265102,-0.02647750375641332,-0.0022064586463677767,True
10Y-2Y,63,0,2011-08-04,2013-01-29,373,-0.009153404697640852,-0.04121068297781742,-0.010302670744454356,True
10Y-2Y,63,1,2013-02-19,2013-05-17,50,-0.09876490473800834,-0.03379314503455972,-0.00844828625863993,True
10Y-2Y,63,2,2014-12-08,2015-05-04,101,-0.1498822142157042,-0.029444038825158413,-0.007361009706289603,True
10Y-2Y,63,3,2015-05-27,2015-06-01,4,-0.17023974480219722,-0.035114162427571385,-0.008778540606892846,True
10Y-2Y,63,4,2015-07-23,2016-12-08,347,-0.04295430427211532,-0.03383405268561118,-0.008458513171402796,True
10Y-2Y,63,5,2016-12-29,2017-01-20,14,-0.04947435384289553,-0.03528089113566763,-0.008820222783916908,True
10Y-2Y,63,6,2017-02-08,2019-12-16,711,-0.0013870704788875171,-0.053426682744981954,-0.013356670686245489,True
10Y-2Y,63,7,2020-01-16,2020-03-10,28,0.28959408722414004,-0.0398779276697803,-0.009969481917445075,False
10Y-2Y,63,8,2022-03-07,2023-10-16,391,-0.11272641541802181,-0.017147984856885665,-0.004286996214221416,True
10Y-2Y,63,9,2023-11-09,2023-12-22,20,0.1045074105411494,-0.036756001732434894,-0.009189000433108723,False
10Y-2Y,63,10,2024-03-07,2024-03-07,1,0.14983415980056666,-0.03546821350210855,-0.008867053375527137,False
10Y-2Y,63,11,2024-05-24,2024-06-25,10,0.19583957603561455,-0.036511240718811754,-0.009127810179702938,False
10Y-2Y,126,0,2011-08-04,2013-01-29,373,-0.013024767434927961,-0.05662649255908607,-0.028313246279543035,True
10Y-2Y,126,1,2013-02-19,2013-05-17,50,-0.12249048211356241,-0.04684817108456868,-0.02342408554228434,True
10Y-2Y,126,2,2014-12-08,2015-05-04,101,-0.17772239254117378,-0.04200662115349252,-0.02100331057674626,True
10Y-2Y,126,3,2015-05-27,2015-06-01,4,-0.17066012539075065,-0.04845465580315371,-0.024227327901576855,True
10Y-2Y,126,4,2015-07-23,2016-12-08,347,-0.053010164824454045,-0.047813469806652915,-0.023906734903326458,True
10Y-2Y,126,5,2016-12-29,2017-01-20,14,0.038903553204727506,-0.0492954400882523,-0.02464772004412615,False
10Y-2Y,126,6,2017-02-08,2019-12-16,711,-0.007641069018804764,-0.07049146094282695,-0.035245730471413474,True
10Y-2Y,126,7,2020-01-16,2020-03-10,28,0.08273455855159965,-0.05051307315245316,-0.02525653657622658,False
10Y-2Y,126,8,2022-03-07,2023-10-16,391,-0.13043524695854397,-0.029427778610020952,-0.014713889305010476,True
10Y-2Y,126,9,2023-11-09,2023-12-22,20,0.10167425099103285,-0.050174557287998106,-0.025087278643999053,False
10Y-2Y,126,10,2024-03-07,2024-03-07,1,0.11938051911211169,-0.04877513264710961,-0.024387566323554804,False
10Y-2Y,126,11,2024-05-24,2024-06-25,10,-0.039207586368497555,-0.04873960314271103,-0.024369801571355515,True
