scope,year,n_winter,n_summer,winter_bps,summer_bps,spread_bps
Commodity,2009,124,128,-10.146742555655905,7.790612146718028,-17.937354702373934
Commodity,2010,125,127,0.2599657907783648,1.2474462405781124,-0.9874804497997477
Commodity,2011,124,128,-1.1985478315502862,-9.046002173999398,7.847454342449112
Commodity,2012,123,127,-9.966239336157955,4.6603208169694605,-14.626560153127416
Commodity,2013,123,129,2.117410287639566,-6.7107239178998865,8.828134205539452
Commodity,2014,123,129,-2.4926278047531523,-12.351685225909577,9.859057421156423
Commodity,2015,124,128,-12.339163646317987,-12.753432907793792,0.41426926147580506
Commodity,2016,124,128,5.4117457486861555,2.311616875071282,3.1001288736148735
Commodity,2017,122,129,-3.060317110958164,-2.7471696961211283,-0.313147414837036
Commodity,2018,122,129,-2.7046600291935734,0.49174456961012547,-3.196404598803699
Commodity,2019,123,129,3.906898123415056,-0.2332495368619489,4.140147660277004
Commodity,2020,125,128,-32.41084171101665,10.452376020302758,-42.863217731319416
Commodity,2021,125,127,3.6763939128620082,19.461220460331134,-15.784826547469127
Commodity,2022,124,127,22.884608379593413,-6.6699048854266305,29.55451326502004
Commodity,2023,122,128,-19.444793470102127,6.021903273013458,-25.466696743115584
Commodity,2024,124,128,11.803036402682979,2.43101383117172,9.372022571511259
Commodity,2025,122,128,2.973517888074862,3.3931703320244515,-0.4196524439495895
Commodity,2026,82,30,29.293007682618132,-18.197208759896053,47.49021644251419
FX,2007,49,129,3.358822103627436,0.29590661486834396,3.0629154887590917
FX,2008,124,129,2.1929497525838104,8.523458228019512,-6.330508475435703
FX,2009,124,128,-2.7911298009391623,-0.5588922348554295,-2.232237566083733
FX,2010,125,127,1.4738341610410455,3.526839673005002,-2.0530055119639563
FX,2011,124,128,-0.8782001616070012,2.6837929647466643,-3.5619931263536655
FX,2012,123,127,-6.210071461700525,0.16528521421543643,-6.375356675915962
FX,2013,123,129,-6.895794132567263,-1.2329787761898678,-5.662815356377395
FX,2014,123,129,-0.29955661266400474,-0.5042898772357635,0.20473326457175875
FX,2015,124,128,2.5718586765715696,0.18858061899963524,2.383278057571934
FX,2016,124,128,-0.24163852180273016,2.775654135000094,-3.0172926568028244
FX,2017,122,129,0.03462034779799328,-2.297034516259874,2.331654864057867
