date,vol_pctile_SPY,vol_pctile_EEM,vol_pctile_EWJ,vol_pctile_XLE,vol_pctile_XLU,vol_pctile_TLT,vol_pctile_SHY,vol_pctile_LQD,vol_pctile_HYG,vol_pctile_USO,vol_pctile_UNG,vol_pctile_GLD,vol_pctile_DBA,vol_pctile_UUP,vol_pctile_FXY,vol_pctile_VNQ,vol_pctile_RWX,er_SPY,er_EEM,er_EWJ,er_XLE,er_XLU,er_TLT,er_SHY,er_LQD,er_HYG,er_USO,er_UNG,er_GLD,er_DBA,er_UUP,er_FXY,er_VNQ,er_RWX,port_vol,port_vol_pctile,cross_asset_dispersion
1996-07-29,0.92328,,,,,,,,,,,,,,,,,0.079343,,0.242718,,,,,,,,,,,,,,,0.109087,0.731481,0.006519
1996-07-30,0.928571,,,,,,,,,,,,,,,,,0.053142,,0.230771,,,,,,,,,,,,,,,0.110969,0.76455,0.005045
1996-07-31,0.933862,,,,,,,,,,,,,,,,,0.040346,,0.196263,,,,,,,,,,,,,,,0.113035,0.80291,0.006798
1996-08-01,0.94709,,,,,,,,,,,,,,,,,0.040332,,0.173078,,,,,,,,,,,,,,,0.114407,0.828042,0.001292
1996-08-02,0.997354,,,,,,,,,,,,,,,,,0.091404,,0.173078,,,,,,,,,,,,,,,0.115365,0.833333,0.014911
1996-08-05,1.0,,,,,,,,,,,,,,,,,0.078893,,0.153846,,,,,,,,,,,,,,,0.115297,0.832011,0.012174
1996-08-06,0.993386,,,,,,,,,,,,,,,,,0.095407,,0.185186,,,,,,,,,,,,,,,0.116009,0.842593,0.023143
1996-08-07,0.960317,,,,,,,,,,,,,,,,,0.075329,,0.21101,,,,,,,,,,,,,,,0.116121,0.846561,0.030731
1996-08-08,0.945767,,,,,,,,,,,,,,,,,0.072922,,0.21101,,,,,,,,,,,,,,,0.115181,0.828042,0.026745
1996-08-09,0.953704,,,,,,,,,,,,,,,,,0.043031,,0.203705,,,,,,,,,,,,,,,0.115063,0.825397,0.033398
1996-08-12,0.962963,,,,,,,,,,,,,,,,,0.02557,,0.161906,,,,,,,,,,,,,,,0.115588,0.833333,0.038115
1996-08-13,0.965608,,,,,,,,,,,,,,,,,0.008876,,0.173077,,,,,,,,,,,,,,,0.115609,0.833333,0.045593
1996-08-14,0.96164,,,,,,,,,,,,,,,,,0.002564,,0.184466,,,,,,,,,,,,,,,0.11591,0.839947,0.046349
1996-08-15,0.96164,,,,,,,,,,,,,,,,,0.007106,,0.196078,,,,,,,,,,,,,,,0.115836,0.834656,0.039047
1996-08-16,0.955026,,,,,,,,,,,,,,,,,0.000376,,0.196079,,,,,,,,,,,,,,,0.11563,0.830688,0.052381
1996-08-19,0.951058,,,,,,,,,,,,,,,,,0.015053,,0.165048,,,,,,,,,,,,,,,0.115553,0.82672,0.043813
1996-08-20,0.945767,,,,,,,,,,,,,,,,,0.013369,,0.173077,,,,,,,,,,,,,,,0.115848,0.835979,0.045936
1996-08-21,0.924603,,,,,,,,,,,,,,,,,0.046187,,0.132077,,,,,,,,,,,,,,,0.115941,0.839947,0.04993
1996-08-22,0.927249,,,,,,,,,,,,,,,,,0.012174,,0.104762,,,,,,,,,,,,,,,0.116698,0.865079,0.031472
1996-08-23,0.927249,,,,,,,,,,,,,,,,,0.035085,,0.104763,,,,,,,,,,,,,,,0.116625,0.862434,0.03291
1996-08-26,0.92328,,,,,,,,,,,,,,,,,0.022282,,0.121496,,,,,,,,,,,,,,,0.117134,0.867725,0.037129
1996-08-27,0.92328,,,,,,,,,,,,,,,,,0.003883,,0.137615,,,,,,,,,,,,,,,0.116508,0.858466,0.048222
1996-08-28,0.917989,,,,,,,,,,,,,,,,,0.013194,,0.155963,,,,,,,,,,,,,,,0.115445,0.816138,0.048655
1996-08-29,0.917989,,,,,,,,,,,,,,,,,0.019102,,0.171171,,,,,,,,,,,,,,,0.116624,0.859788,0.050422
1996-08-30,0.924603,,,,,,,,,,,,,,,,,0.051075,,0.163637,,,,,,,,,,,,,,,0.118621,0.876984,0.039851
1996-09-03,0.943122,,,,,,,,,,,,,,,,,0.052803,,0.207208,,,,,,,,,,,,,,,0.118549,0.875661,0.03812
1996-09-04,0.93254,,,,,,,,,,,,,,,,,0.073813,,0.178572,,,,,,,,,,,,,,,0.119121,0.878307,0.039808
1996-09-05,0.973545,,,,,,,,,,,,,,,,,0.084178,,0.168142,,,,,,,,,,,,,,,0.11919,0.878307,0.015104
1996-09-06,1.0,,,,,,,,,,,,,,,,,0.048078,,0.153154,,,,,,,,,,,,,,,0.119673,0.883598,0.017394
1996-09-09,1.0,,,,,,,,,,,,,,,,,0.011761,,0.153154,,,,,,,,,,,,,,,0.120334,0.890212,0.023967
1996-09-10,0.998677,,,,,,,,,,,,,,,,,0.010678,,0.153154,,,,,,,,,,,,,,,0.120453,0.890212,0.02005
1996-09-11,1.0,,,,,,,,,,,,,,,,,0.006957,,0.192661,,,,,,,,,,,,,,,0.120436,0.888889,0.024784
1996-09-12,0.997354,,,,,,,,,,,,,,,,,0.023043,,0.203704,,,,,,,,,,,,,,,0.120626,0.891534,0.038395
1996-09-13,1.0,,,,,,,,,,,,,,,,,0.066615,,0.19266,,,,,,,,,,,,,,,0.122995,0.914021,0.043757
